 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Locotan ,2148
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Magballo ,1828
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Oringao ,4896
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Orong ,3076
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Pinaguinpinan ,1584
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Salong ,3476
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Tabugon ,3520
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Tagoc ,1380
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Tagukon ,1956
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Talubangi ,504
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Tampalon ,5552
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Tan-Awan ,3660
 NIR [Negros Island Region] , Negros Occidental , City Of Kabankalan , Tapi ,3992
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Barangay 1 (Pob.) ,24
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Barangay 2 (Pob.) ,960
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Barangay 3 (Pob.) ,356
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Barangay 4 (Pob.) ,1012
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Barangay 5 (Pob.) ,696
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Cabadiangan ,1972
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Camindangan ,4044
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Canturay ,1748
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Cartagena ,1860
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Cayhagan ,1480
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Gil Montilla ,2080
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Mambaroto ,1508
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Manlucahoc ,2996
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Maricalum ,1920
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Nabulao ,3008
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , Nauhang ,1044
 NIR [Negros Island Region] , Negros Occidental , City Of Sipalay , San Jose ,1756
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Bubog ,560
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Cabatangan ,1028
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Concepcion ,2492
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Dos Hermanas ,2080
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Efigenio Lizares ,984
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Katilingban ,1068
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Matab-Ang ,1808
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , San Fernando ,1328
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 1 (Pob.) ,176
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 10 (Pob.) ,704
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 11 (Pob.) ,144
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 12 (Pob.) ,96
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 12-A (Pob.) ,644
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 14 (Pob.) ,104
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 14-A (Pob.) ,188
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 14-B (Pob.) ,248
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 15 (Pob.) ,1056
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 16 (Pob.) ,696
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 2 (Pob.) ,108
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 3 (Pob.) ,1548
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 4 (Pob.) ,132
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 4-A (Pob.) ,116
